EmployeeKey,Title,MaritalStatus,SalariedFlag,Gender,PayFrequency,BaseRate,VacationHours,SickLeaveHours,CurrentFlag,DepartmentName,SalesTerritoryKey,EmployeeNationalIDAlternateKey,SalesAmountQuota
272,North American Sales Manager,M,-1,M,2,48.101,14,27,-1,Sales,11,502097814,28000
281,Sales Representative,S,-1,M,2,23.0769,38,39,-1,Sales,2,841560125,367000
282,Sales Representative,M,-1,F,2,23.0769,27,33,-1,Sales,4,191644724,637000
283,Sales Representative,S,-1,F,2,23.0769,24,32,-1,Sales,3,615389812,565000
284,Sales Representative,M,-1,M,2,23.0769,33,36,-1,Sales,6,234474252,244000
285,Sales Representative,M,-1,M,2,23.0769,29,34,-1,Sales,5,716374314,669000
286,Sales Representative,S,-1,F,2,23.0769,22,31,-1,Sales,1,61161660,165000
287,Sales Representative,M,-1,M,2,23.0769,26,33,-1,Sales,4,139397894,460000
288,Sales Representative,M,-1,M,2,23.0769,31,35,-1,Sales,6,399771412,525000
289,Sales Representative,S,-1,M,2,23.0769,23,31,-1,Sales,1,987554265,226000
272,North American Sales Manager,M,-1,M,2,48.101,14,27,-1,Sales,11,502097814,7000
281,Sales Representative,S,-1,M,2,23.0769,38,39,-1,Sales,2,841560125,556000
282,Sales Representative,M,-1,F,2,23.0769,27,33,-1,Sales,4,191644724,781000
283,Sales Representative,S,-1,F,2,23.0769,24,32,-1,Sales,3,615389812,872000
284,Sales Representative,M,-1,M,2,23.0769,33,36,-1,Sales,6,234474252,356000
285,Sales Representative,M,-1,M,2,23.0769,29,34,-1,Sales,5,716374314,917000
286,Sales Representative,S,-1,F,2,23.0769,22,31,-1,Sales,1,61161660,469000
287,Sales Representative,M,-1,M,2,23.0769,26,33,-1,Sales,4,139397894,549000
288,Sales Representative,M,-1,M,2,23.0769,31,35,-1,Sales,6,399771412,767000
289,Sales Representative,S,-1,M,2,23.0769,23,31,-1,Sales,1,987554265,353000
272,North American Sales Manager,M,-1,M,2,48.101,14,27,-1,Sales,11,502097814,91000
