CustomerKey,Title,LastName,BirthDate,MaritalStatus,Suffix,Gender,YearlyIncome,TotalChildren,NumberChildrenAtHome,EnglishEducation,EnglishOccupation,HouseOwnerFlag,NumberCarsOwned,AddressLine1,AddressLine2,Phone,DateFirstPurchase,CommuteDistance,Region,Age,AccessoriesBuyer,GeographyKey
11000,,Yang,10/6/1971,M,,M,"$90,000.00 ",2,0,Bachelors,Professional,1,0,3761 N. 14th St,,1 (11) 500 555-0162,1/19/2011,1-2 Miles,Pacific,50,1,26
11001,,Huang,5/10/1976,S,,M,"$60,000.00 ",3,3,Bachelors,Professional,0,1,2243 W St.,,1 (11) 500 555-0110,1/15/2011,0-1 Miles,Pacific,45,1,37
11002,,Torres,2/9/1971,M,,M,"$60,000.00 ",3,3,Bachelors,Professional,1,1,5844 Linden Land,,1 (11) 500 555-0184,1/7/2011,2-5 Miles,Pacific,50,1,31
11003,,Zhu,8/14/1973,S,,F,"$70,000.00 ",0,0,Bachelors,Professional,0,1,1825 Village Pl.,,1 (11) 500 555-0162,12/29/2010,5-10 Miles,Pacific,48,1,11
11004,,Johnson,8/5/1979,S,,F,"$80,000.00 ",5,5,Bachelors,Professional,1,4,7553 Harness Circle,,1 (11) 500 555-0131,1/23/2011,1-2 Miles,Pacific,42,1,19
11005,,Ruiz,8/1/1976,S,,M,"$70,000.00 ",0,0,Bachelors,Professional,1,1,7305 Humphrey Drive,,1 (11) 500 555-0151,12/30/2010,5-10 Miles,Pacific,45,1,22
11006,,Alvarez,12/2/1976,S,,F,"$70,000.00 ",0,0,Bachelors,Professional,1,1,2612 Berry Dr,,1 (11) 500 555-0184,1/24/2011,5-10 Miles,Pacific,45,1,8
11007,,Mehta,11/6/1969,M,,M,"$60,000.00 ",3,3,Bachelors,Professional,1,2,942 Brook Street,,1 (11) 500 555-0126,1/9/2011,0-1 Miles,Pacific,52,1,40
11008,,Verhoff,7/4/1975,S,,F,"$60,000.00 ",4,4,Bachelors,Professional,1,3,624 Peabody Road,,1 (11) 500 555-0164,1/25/2011,10+ Miles,Pacific,46,1,32
11009,,Carlson,9/29/1969,S,,M,"$70,000.00 ",0,0,Bachelors,Professional,0,1,3839 Northgate Road,,1 (11) 500 555-0110,1/27/2011,5-10 Miles,Pacific,52,1,25
11010,,Suarez,8/5/1969,S,,F,"$70,000.00 ",0,0,Bachelors,Professional,0,1,7800 Corrinne Court,,1 (11) 500 555-0169,1/14/2011,5-10 Miles,Pacific,52,0,22
11011,,Lu,5/3/1969,M,,M,"$60,000.00 ",4,4,Bachelors,Professional,1,4,1224 Shoenic,,1 (11) 500 555-0117,12/30/2010,10+ Miles,Pacific,52,0,22
11012,,Walker,1/14/1979,M,,F,"$100,000.00 ",2,0,Bachelors,Management,1,2,4785 Scott Street,,717-555-0164,3/16/2013,1-2 Miles,North America,42,1,611
11013,,Jenkins,8/3/1979,M,,M,"$100,000.00 ",2,0,Bachelors,Management,1,3,7902 Hudson Ave.,,817-555-0185,4/13/2013,0-1 Miles,North America,42,1,543
11014,,Bennett,11/6/1973,S,,F,"$100,000.00 ",3,0,Bachelors,Management,0,3,9011 Tank Drive,,431-555-0156,3/23/2013,1-2 Miles,North America,48,1,634
11015,,Young,8/26/1984,S,,F,"$30,000.00 ",0,0,Partial College,Skilled Manual,0,1,244 Willow Pass Road,,208-555-0142,1/18/2013,5-10 Miles,North America,37,1,301
11016,,Hill,10/25/1984,M,,M,"$30,000.00 ",0,0,Partial College,Skilled Manual,1,1,9666 Northridge Ct.,,135-555-0171,2/9/2013,5-10 Miles,North America,37,1,329
11017,,Wang,12/24/1949,S,,F,"$20,000.00 ",4,0,High School,Skilled Manual,1,2,7330 Saddlehill Lane,,1 (11) 500 555-0195,1/12/2011,5-10 Miles,Pacific,71,1,39
11018,,Rai,10/6/1955,S,,M,"$30,000.00 ",2,0,Partial College,Clerical,1,2,244 Rivewview,,1 (11) 500 555-0137,1/17/2011,5-10 Miles,Pacific,66,1,32
11019,,Lal,9/4/1983,S,,M,"$40,000.00 ",0,0,High School,Skilled Manual,0,2,7832 Landing Dr,,262-555-0112,2/12/2013,5-10 Miles,North America,38,1,52
11020,,King,3/19/1984,S,,M,"$40,000.00 ",0,0,High School,Skilled Manual,0,2,7156 Rose Dr.,,550-555-0163,12/29/2012,1-2 Miles,North America,37,1,53
11021,,Wilson,3/2/1984,S,,F,"$40,000.00 ",0,0,Partial College,Skilled Manual,0,1,8148 W. Lake Dr.,,622-555-0158,1/23/2013,1-2 Miles,North America,37,1,536
11022,,Zhang,4/10/1984,M,,M,"$40,000.00 ",0,0,Partial College,Skilled Manual,1,1,1769 Nicholas Drive,,589-555-0185,1/20/2013,5-10 Miles,North America,37,1,609
11023,,Edwards,4/9/1984,M,,M,"$40,000.00 ",0,0,Partial College,Skilled Manual,1,1,4499 Valley Crest,,452-555-0188,2/17/2013,1-2 Miles,North America,37,1,298
11024,,Xie,3/16/1984,M,,M,"$60,000.00 ",0,0,Partial College,Skilled Manual,1,2,8734 Oxford Place,,746-555-0186,6/27/2013,5-10 Miles,North America,37,1,311
11025,,Beck,6/22/1951,M,,M,"$10,000.00 ",2,1,Partial High School,Clerical,1,2,2596 Franklin Canyon Road,,1 (11) 500 555-0178,1/6/2011,1-2 Miles,Pacific,70,1,24
11026,,Sai,10/1/1951,S,,M,"$30,000.00 ",2,0,Partial College,Clerical,0,2,8211 Leeds Ct.,,1 (11) 500 555-0131,1/23/2011,1-2 Miles,Pacific,70,1,4
11027,,Zhao,6/5/1952,M,,M,"$30,000.00 ",2,0,Partial College,Clerical,1,2,213 Valencia Place,,1 (11) 500 555-0184,1/16/2011,5-10 Miles,Pacific,69,1,40
11028,,Jimenez,10/9/1951,M,,F,"$30,000.00 ",2,0,Partial College,Clerical,1,2,9111 Rose Ann Ave,,1 (11) 500 555-0116,1/26/2011,1-2 Miles,Pacific,70,1,17
11029,,Moreno,6/19/1952,M,,M,"$30,000.00 ",2,0,Partial College,Clerical,1,2,6385 Mark Twain,,1 (11) 500 555-0146,1/19/2011,1-2 Miles,Pacific,69,1,32
11030,,Yuan,2/18/1958,M,,F,"$10,000.00 ",2,1,Partial High School,Clerical,1,2,636 Vine Hill Way,,1 (11) 500 555-0182,2/5/2011,1-2 Miles,Pacific,63,0,28
11031,,Ramos,2/18/1953,M,,F,"$20,000.00 ",4,0,High School,Skilled Manual,1,2,6465 Detroit Ave.,,1 (11) 500 555-0195,2/1/2011,1-2 Miles,Pacific,68,1,8
11032,,Stone,12/8/1952,M,,F,"$20,000.00 ",4,0,High School,Skilled Manual,1,2,626 Bentley Street,,1 (11) 500 555-0169,2/18/2011,1-2 Miles,Pacific,69,1,35
11033,,Nath,9/19/1958,M,,M,"$20,000.00 ",4,0,High School,Skilled Manual,1,2,5927 Rainbow Dr,,1 (11) 500 555-0137,2/15/2011,5-10 Miles,Pacific,63,1,9
11034,,Gonzalez,12/16/1952,M,,F,"$20,000.00 ",4,0,High School,Skilled Manual,1,2,5167 Condor Place,,1 (11) 500 555-0136,2/1/2011,5-10 Miles,Pacific,69,0,12
11035,,Dominguez,8/23/1953,M,,F,"$10,000.00 ",2,1,Partial High School,Clerical,1,2,1873 Mt. Whitney Dr,,1 (11) 500 555-0177,2/6/2011,1-2 Miles,Pacific,68,1,33
11036,,Russell,6/16/1984,M,,F,"$60,000.00 ",0,0,Partial College,Skilled Manual,1,2,3981 Augustine Drive,,115-555-0183,1/22/2013,1-2 Miles,North America,37,1,343
11037,,Garcia,5/27/1983,S,,F,"$40,000.00 ",0,0,Partial High School,Clerical,0,2,8915 Woodside Way,,229-555-0112,1/20/2013,5-10 Miles,North America,38,1,49
11038,,Hernandez,9/20/1953,M,,F,"$10,000.00 ",2,1,Partial High School,Clerical,1,2,8357 Sandy Cove Lane,,1 (11) 500 555-0114,2/7/2011,5-10 Miles,Pacific,68,0,6
11039,,Martin,6/16/1954,M,,M,"$30,000.00 ",3,0,Partial College,Clerical,1,2,9353 Creekside Dr.,,1 (11) 500 555-0183,2/7/2011,5-10 Miles,Pacific,67,1,19
11040,,Murphy,1/29/1983,M,,M,"$30,000.00 ",0,0,Partial College,Skilled Manual,1,2,3350 Kingswood Circle,,961-555-0176,4/3/2013,1-2 Miles,North America,38,1,642
11041,,Carter,4/15/1983,M,,F,"$60,000.00 ",0,0,Partial College,Skilled Manual,1,2,5826 Escobar,,295-555-0145,1/14/2013,1-2 Miles,North America,38,1,325
11042,,Sanchez,12/11/1982,M,,F,"$70,000.00 ",0,0,Partial College,Skilled Manual,1,2,1397 Paraiso Ct.,,404-555-0199,1/21/2013,0-1 Miles,North America,39,0,338
11043,,Simmons,8/23/1981,M,,M,"$60,000.00 ",0,0,Partial College,Skilled Manual,1,2,1170 Shaw Rd,,296-555-0181,5/8/2013,5-10 Miles,North America,40,1,325
11044,,Flores,11/21/1954,M,,M,"$20,000.00 ",2,1,Partial High School,Clerical,1,2,6935 Candle Dr,,1 (11) 500 555-0163,2/28/2011,1-2 Miles,Pacific,67,1,25
11045,,Nara,11/16/1955,S,,M,"$30,000.00 ",3,0,High School,Skilled Manual,0,2,7466 La Vista Ave.,,1 (11) 500 555-0151,4/10/2013,1-2 Miles,Pacific,66,1,8
11046,,Yuan,9/19/1955,M,,F,"$30,000.00 ",3,0,High School,Skilled Manual,1,2,2356 Orange St,,1 (11) 500 555-0113,2/6/2011,5-10 Miles,Pacific,66,1,6
11047,,Lu,8/27/1955,M,,F,"$30,000.00 ",3,0,High School,Skilled Manual,0,2,2812 Mazatlan,,1 (11) 500 555-0137,2/3/2011,1-2 Miles,Pacific,66,1,34
11048,,Powell,5/21/1956,M,,M,"$30,000.00 ",3,0,High School,Skilled Manual,1,2,1803 Potomac Dr.,,1 (11) 500 555-0183,2/10/2011,5-10 Miles,Pacific,65,1,39
11049,,Rai,1/15/1986,S,,F,"$40,000.00 ",0,0,Partial High School,Clerical,1,2,6064 Madrid,,654-555-0180,3/9/2013,5-10 Miles,North America,35,1,307
11050,,Zheng,3/6/1957,M,,M,"$30,000.00 ",3,0,High School,Skilled Manual,1,2,2741 Gainborough Dr.,,1 (11) 500 555-0135,2/20/2011,5-10 Miles,Pacific,64,1,31
11051,,Johnson,1/31/1957,S,,M,"$30,000.00 ",3,0,High School,Skilled Manual,0,2,8085 Sunnyvale Avenue,,1 (11) 500 555-0155,12/29/2013,1-2 Miles,Pacific,64,1,21
11052,,Lopez,2/3/1957,S,,F,"$40,000.00 ",2,0,Partial College,Clerical,0,2,2514 Via Cordona,,1 (11) 500 555-0168,2/17/2011,5-10 Miles,Pacific,64,1,8
11053,,Price,2/17/1986,M,,F,"$60,000.00 ",0,0,Partial College,Skilled Manual,0,2,1660 Stonyhill Circle,,859-555-0113,1/17/2013,1-2 Miles,North America,35,1,359
11054,,Munoz,9/7/1957,M,,F,"$40,000.00 ",2,0,Partial College,Skilled Manual,1,2,5825 B Way,,1 (11) 500 555-0192,2/3/2011,5-10 Miles,Pacific,64,1,34
11055,,Raje,9/2/1957,M,,M,"$40,000.00 ",2,0,Partial College,Skilled Manual,1,2,8811 The Trees Dr.,,1 (11) 500 555-0129,1/31/2011,5-10 Miles,Pacific,64,1,22
11056,,Nath,10/1/1958,M,,F,"$40,000.00 ",3,0,Partial College,Skilled Manual,1,2,5464 Janin Pl.,,1 (11) 500 555-0178,2/26/2011,5-10 Miles,Pacific,63,1,10
11057,,Andersen,4/7/1970,M,,M,"$70,000.00 ",2,0,Graduate Degree,Management,1,2,6930 Lake Nadine Place,,1 (11) 500 555-0181,2/22/2011,1-2 Miles,Pacific,51,0,5
11058,,Diaz,4/23/1965,M,,M,"$80,000.00 ",2,0,Partial College,Skilled Manual,1,2,6645 Sinaloa,,1 (11) 500 555-0149,3/9/2011,1-2 Miles,Pacific,56,1,29
11059,,Andersen,9/29/1959,S,,F,"$80,000.00 ",2,0,Partial College,Skilled Manual,1,2,8255 Highland Road,,1 (11) 500 555-0112,2/18/2013,5-10 Miles,Pacific,62,1,27
11060,,Zhou,9/14/1959,M,,M,"$80,000.00 ",2,0,Partial College,Skilled Manual,1,2,6574 Hemlock Ave.,,1 (11) 500 555-0174,3/19/2011,5-10 Miles,Pacific,62,1,40
11061,,Gao,2/20/1976,M,,M,"$80,000.00 ",2,0,Partial College,Skilled Manual,1,2,8808 Geneva Ave,,1 (11) 500 555-0191,3/13/2011,5-10 Miles,Pacific,45,1,23
11062,,Powell,3/1/1981,M,,M,"$40,000.00 ",0,0,High School,Skilled Manual,1,2,9794 Marion Ct,,767-555-0113,1/7/2013,5-10 Miles,North America,40,1,547
11063,,Murphy,10/4/1980,S,,F,"$40,000.00 ",0,0,High School,Skilled Manual,1,2,4927 Virgil Street,# 21,451-555-0162,1/12/2013,5-10 Miles,North America,41,1,634
11064,,Reed,6/5/1981,M,,M,"$40,000.00 ",0,0,High School,Skilled Manual,1,2,2721 Alexander Pl.,,892-555-0184,1/25/2013,5-10 Miles,North America,40,1,315
11065,,Henderson,4/8/1979,M,,F,"$60,000.00 ",0,0,Partial College,Skilled Manual,0,2,9343 Ironwood Way,,278-555-0186,2/10/2013,1-2 Miles,North America,42,1,331
11066,,Butler,5/27/1979,M,,F,"$70,000.00 ",0,0,Partial College,Professional,1,2,4739 Garden Ave.,,712-555-0141,5/31/2013,5-10 Miles,North America,42,1,543
11067,,Carter,3/25/1982,S,,M,"$60,000.00 ",0,0,Partial College,Professional,1,2,9563 Pennsylvania Blvd.,,944-555-0167,8/18/2013,5-10 Miles,North America,39,1,632
11068,,Liang,9/19/1966,S,,F,"$80,000.00 ",2,0,High School,Skilled Manual,1,2,3608 Sinclair Avenue,# 701,1 (11) 500 555-0177,4/30/2013,5-10 Miles,Pacific,55,1,40
11069,,Navarro,9/17/1966,S,,F,"$80,000.00 ",2,0,High School,Skilled Manual,0,2,4606 Springwood Court,,1 (11) 500 555-0145,4/17/2011,1-2 Miles,Pacific,55,0,23
11070,,Raji,10/2/1960,M,,M,"$80,000.00 ",2,0,High School,Skilled Manual,1,2,6260 Vernal Drive,,1 (11) 500 555-0151,4/28/2011,5-10 Miles,Pacific,61,1,39
11071,,Serrano,12/23/1960,S,,F,"$80,000.00 ",2,0,High School,Skilled Manual,1,2,9808 Shaw Rd.,,1 (11) 500 555-0130,3/1/2013,5-10 Miles,Pacific,60,1,24
11072,,Luo,8/5/1960,S,,F,"$80,000.00 ",2,0,High School,Skilled Manual,0,2,9513 Roslyn Drive,,1 (11) 500 555-0125,3/31/2011,1-2 Miles,Pacific,61,1,17
11073,,Ye,2/11/1962,S,,F,"$70,000.00 ",2,0,High School,Skilled Manual,1,2,2262 Kirkwood Ct.,,1 (11) 500 555-0185,3/23/2013,5-10 Miles,Pacific,59,1,16
11074,,Arun,2/25/1962,S,,M,"$70,000.00 ",2,0,High School,Skilled Manual,1,2,4661 Bluetail,,1 (11) 500 555-0127,3/23/2013,5-10 Miles,Pacific,59,1,28
